Prophecy,>Years before the Jesus' birth ,Text,Testament,Category,Source
Care for the poor and needy,800,Psalm 72:12-14,Old,Life and Ministry,Psalms
Speak in parables with hidden meaning,800,Psalm 78:2,Old,Life and Ministry,Psalms
Will pray for his enemies,800,Psalm 109:4,Old,Life and Ministry,Psalms
Be a priest after the order of Melchizedek,800,Psalm 110:4,Old,Life and Ministry,Psalms
People's hearts are hardened,500,Isaiah 6:9-10,Old,Life and Ministry,Psalms
"His ministry in Zebulun, Naphtali, and Galilee",500,Isaiah 9:1-2,Old,Life and Ministry,Isaiah
The government is on his shoulders,500,Isaiah 9:6,Old,Life and Ministry,Isaiah
Someone will prepare for the coming of the Lord,500,Isaiah 40:3-5,Old,Life and Ministry,Isaiah
The Spirit of the Lord rests upon him,500,Isaiah 11:2,Old,Life and Ministry,Isaiah
The Spirit of the Lord rests upon him,500,Isaiah 42:1,Old,Life and Ministry,Isaiah
The Spirit of the Lord rests upon him,500,Isaiah 61:1-2,Old,Life and Ministry,Isaiah
"Be a healer and savior, do miracles",500,Isaiah 35:4-6,Old,Life and Ministry,Isaiah
Be a shepherd who tends his sheep,500,Isaiah 40:10-11,Old,Life and Ministry,Isaiah
Be a servant of God,500,Isaiah 42:1-4,Old,Life and Ministry,Isaiah
The Redeemer to come out of Zion,500,Isaiah 59:16-20,Old,Life and Ministry,Isaiah
Nations shall walk in the light of the Lord,500,Isaiah 60:1-3,Old,Life and Ministry,Isaiah
Anointed to preach liberty to the captives,500,Isaiah 61:1-2,Old,Life and Ministry,Isaiah
His Spirit poured out upon people,500,Joel 2:28-32,Old,Life and Ministry,Joel
David's house shall be restored,500,Arnos 9:11-12,Old,Life and Ministry,Amos
God shall dwell among his people,500,Zechariah 2:10-13,Old,Life and Ministry,Zechariah
A new priesthood established,500,Zechariah 3:8,Old,Life and Ministry,Zechariah
Messenger sent to prepare the way before him,500,Malachi 3:1,Old,Life and Ministry,Malachi
Prophet sent before the day of the Lord,500,Malachi 4:5-6,Old,Life and Ministry,Malachi
Be Passover sacrifice with no bone broken,1200,Exodus 12:46,Old,Death and Resurrection,Exodus
Be Passover sacrifice with no bone broken,1200,Numbers 9:12,Old,Death and Resurrection,Numbers
Be Passover sacrifice with no bone broken,800,Psalm 34:20,Old,Death and Resurrection,Psalms
Be hung upon a tree as a curse for us,1200,Deuteronomy 21:23,Old,Death and Resurrection,Deuteronomy
Be thirsty during his execution,800,Psalm 22:15,Old,Death and Resurrection,Psalms
Be accused by false witnesses,800,Psalm 27:12,Old,Death and Resurrection,Psalms
Be accused by false witnesses,800,Psalm 35:11,Old,Death and Resurrection,Psalms
Be struck on the head,500,Micah 5:1,Old,Death and Resurrection,Micah
Have hands and feet pierced,800,Psalm 22:16,Old,Death and Resurrection,Psalms
Have hands and feet pierced,500,Zechariah 12:10,Old,Death and Resurrection,Zechariah
Have soldiers cast lots for his coat,800,Psalm 22:18,Old,Death and Resurrection,Psalms
Be given gall and vinegar (sour wine),800,Psalm 69:20-22,Old,Death and Resurrection,Psalms
Be beaten and spat upon,500,Isaiah 50:6,Old,Death and Resurrection,Isaiah
Be betrayed by a friend,800,Psalm 41:9,Old,Death and Resurrection,Psalms
Be betrayed by a friend,800,Psalm 55:12-14,Old,Death and Resurrection,Psalms
Be despised and rejected,500,Isaiah 53:2-3,Old,Death and Resurrection,Isaiah
"Be accused and afflicted, but did not open his mouth",500,Isaiah 53:7,Old,Death and Resurrection,Isaiah
Commit his spirit into God's hand,500,Psalm 31:5,Old,Death and Resurrection,Psalms
Be buried with the rich,500,Isaiah 53:9,Old,Death and Resurrection,Isaiah
Be numbered (crucified) with transgressors,500,Isaiah 53:12,Old,Death and Resurrection,Isaiah
The thirty pieces of silver buy the potter's field,500,Zechariah 11:12-13,Old,Death and Resurrection,Zechariah
Be sold for thirty pieces of silver,500,Zechariah 11:12,Old,Death and Resurrection,Zechariah
"Be Passover male lamb, without blemish, slain, with blood applied as protection from judgment",1200,Exodus 12:1-11,Old,Death and Resurrection,Exodus
"Be Passover male lamb, without blemish, slain, with blood applied as protection from judgment",500,Isaiah 53:7,Old,Death and Resurrection,Isaiah
"Be lifted up, just as Moses lifted up a serpent",1200,Numbers 21:8-9,Old,Death and Resurrection,Numbers
Be raised from the dead,800,Psalm 16:8-11,Old,Death and Resurrection,Psalms
Conquer death through his resurrection,800,Psalm 16:8-11,Old,Death and Resurrection,Psalms
Conquer death through his resurrection,800,Psalm 49:15,Old,Death and Resurrection,Psalms
Conquer death through his resurrection,800,Psalm 86:13,Old,Death and Resurrection,Psalms
Feel forsaken by God,800,Psalm 22:1,Old,Death and Resurrection,Psalms
Be mocked and insulted by many,800,Psalm 22:7-8,Old,Death and Resurrection,Psalms
Be mocked and insulted by many,800,Psalm 22:17,Old,Death and Resurrection,Psalms
Friends stand afar off,800,Psalm 38:11,Old,Death and Resurrection,Psalms
Friends stand afar off,800,Psalm 88:18,Old,Death and Resurrection,Psalms
Ascend on high,800,Psalm 68:18,Old,Death and Resurrection,Psalms
Reproaches of others fall on him,800,Psalm 69:9,Old,Death and Resurrection,Psalms
Another to succeed Judas,800,Psalm 109:7-8,Old,Death and Resurrection,Psalms
Be a Son who is given,500,Isaiah 9:6,Old,Death and Resurrection,Isaiah
Swallow up death in victory,500,Isaiah 25:8,Old,Death and Resurrection,Isaiah
"Be mistreated, hardly recognized",500,Isaiah 52:14,Old,Death and Resurrection,Isaiah
Bear our griefs and carry sorrows,500,Isaiah 53:4-5,Old,Death and Resurrection,Isaiah
Be wounded for transgressions,500,Isaiah 53:5,Old,Death and Resurrection,Isaiah
Be led as a Iamb to the slaughter,500,Isaiah 53:7,Old,Death and Resurrection,Isaiah
Be sinless and without guile,500,Isaiah 53:9,Old,Death and Resurrection,Isaiah
Make intercession for the transgressors,500,Isaiah 53:12,Old,Death and Resurrection,Isaiah
Be made into an offering for sin,500,"Isaiah 53:10,11",Old,Death and Resurrection,Isaiah
"Be ""cut off"" at a specific time after Jerusalem wall is rebuilt, before the temple is destroyed",500,Daniel 9:24-26,Old,Death and Resurrection,Daniel
"Be ""cut off"" at a specific time after Jerusalem wall is rebuilt, before the temple is destroyed",500,Zechariah 9:9,Old,Death and Resurrection,Zechariah
His body would be pierced,500,Zechariah 12:10,Old,Death and Resurrection,Zechariah
"Shepherd smitten, sheep scattered (deserted by his lowers)",500,Zechariah 13:6-7,Old,Death and Resurrection,Zechariah
I Am (Jehovah),1200,Exodus 3:13-15,Old,Titles and Attributes,Exodus
A Prophet like Moses,1200,Deuteronomy 18:18-19,Old,Titles and Attributes,Deuteronomy
The throne of David established forever,800,2 Samuel 7:12-13,Old,Titles and Attributes,2 Samuel
The throne of David established forever,800,2 Samuel 7:16,Old,Titles and Attributes,2 Samuel
The throne of David established forever,800,2 Samuel 7:25-26,Old,Titles and Attributes,2 Samuel
The throne of David established forever,800,Psalm 89:3-4,Old,Titles and Attributes,Psalms
The throne of David established forever,800,Psalm 89:36-37,Old,Titles and Attributes,Psalms
The throne of David established forever,800,Isaiah 9:7,Old,Titles and Attributes,Isaiah
The throne of David established forever,800,1 Chronicles 17:11-14,Old,Titles and Attributes,1 Chronicles
The throne of David established forever,800,1 Chronicles 17:23-27,Old,Titles and Attributes,1 Chronicles
The promised Redeemer,800,Job 19:25-27,Old,Titles and Attributes,Job
The promised Redeemer,800,Psalm 130:7-8,Old,Titles and Attributes,Psalms
The promised Redeemer,500,"
Isaiah 59:20",Old,Titles and Attributes,Isaiah
The Son of God,800,Psalm 2:7,Old,Titles and Attributes,Psalms
Delights to do God's will,800,Psalm 40:8,Old,Titles and Attributes,Psalms
"A King known for righteousness, anointed",800,Psalm 45:1-7,Old,Titles and Attributes,Psalms
Seed of David,800,Psalm 89:3-4,Old,Titles and Attributes,Psalms
The firstborn over all creation,800,Psalm 89:27,Old,Titles and Attributes,Psalms
"Never changing, everlasting",800,Psalm 102:24-27,Old,Titles and Attributes,Psalms
David's son; David's Lord at God's right hand,800,Psalm 110:1,Old,Titles and Attributes,Psalms
A Priest according to the order of Melchizedek,800,Psalm 110:4,Old,Titles and Attributes,Psalms
The Chief Cornerstone,800,Psalm 118:22-23,Old,Titles and Attributes,Psalms
The way of repentance for all nations,500,Isaiah 2:2-4,Old,Titles and Attributes,Isaiah
"Immanuel, God with us",500,Isaiah 7:14,Old,Titles and Attributes,Isaiah
"Immanuel, God with us",500,Isaiah 8:8-10,Old,Titles and Attributes,Isaiah
"A stone of stumbling, a rock of offense",500,Isaiah 8:14-15,Old,Titles and Attributes,Isaiah
The light which has shone out of darkness,500,Isaiah 9:1-2,Old,Titles and Attributes,Isaiah
Prince of Peace,500,Isaiah 9:6,Old,Titles and Attributes,Isaiah
"Full of wisdom, power and righteousness",500,Isaiah 11:1-10,Old,Titles and Attributes,Isaiah
The key of the house of David is upon his shoulder,500,Isaiah 22:21-25,Old,Titles and Attributes,Isaiah
"The stone in Zion, a sure foundation",500,Isaiah 28:16,Old,Titles and Attributes,Isaiah
"God's elect Servant, in whom he delights",500,Isaiah 42:1-4,Old,Titles and Attributes,Isaiah
Spirit of the LORD shall rest on him,500,Isaiah 61:1,Old,Titles and Attributes,Isaiah
The Righteous Branch,500,Jeremiah 23:5-6,Old,Titles and Attributes,Jeremiah
The Righteous Branch,500,Jeremiah 33:15-16,Old,Titles and Attributes,Jeremiah
The Good Shepherd,500,Ezekiel 34:23-24,Old,Titles and Attributes,Ezekiel
The Good Shepherd,500,Ezekiel 37:24,Old,Titles and Attributes,Ezekiel
The enthroned High Priest,500,Zechariah 6:12-13,Old,Titles and Attributes,Zechariah
Sun of Righteousness; the Dayspring; our Light,500,Malachi 4:2-3,Old,Titles and Attributes,Malachi
Be of the offspring of the woman; shall bruise the serpent's head,1200,Galatians 4:4,New,Birth,Galatians
Be of the offspring of the woman; shall bruise the serpent's head,1200,Hebrews 2:14,New,Birth,Hebrews
Be of the offspring of the woman; shall bruise the serpent's head,1200,1 John 3:8,New,Birth,1 John
All nations shall be blessed through Abraham,1200,Acts 3:25-26,New,Birth,Acts
All nations shall be blessed through Abraham,1200,"Matthew 1:1, 17",New,Birth,Matthew
All nations shall be blessed through Abraham,1200,Galatians 3:16,New,Birth,Galatians
Be of the tribe of Judah,1200,Matthew 1:1-3 ,New,Birth,Matthew
Be of the tribe of Judah,500,Hebrews 7:14,New,Birth,Hebrews
Be of the tribe of Judah,500,Revelation 5:5,New,Birth,Revelation
Be born in the town of Bethlehem of Judea (Judah),500,Matthew 2:1-6,New,Birth,Matthew
Be born a king of the line of David,500,Matthew 1:1,New,Birth,Matthew
Be born a king of the line of David,800,Luke 1:32,New,Birth,Luke
Be born a king of the line of David,500,Acts 13:22-23,New,Birth,Acts
A child to be born,500,Luke 2:11,New,Birth,Luke
Be born of a virgin,500,Matthew 1:18-23,New,Birth,Matthew
Be born of a virgin,500,Luke 1:26-35,New,Birth,Luke
"Kings shall bring him gifts, fall down before him",800,Matthew 2:1-11,New,Birth,Matthew
Be born of the seed of Abraham,1200,"Matthew 1:1, 17",New,Birth,Matthew
Be born of the seed of Abraham,1200,"Galatians 3:16, 29",New,Birth,Galatians
Be born of the seed of Abraham,1200,Hebrews 2:16,New,Birth,Hebrews
Be born of the seed of Isaac,1200,"Matthew 1:2,17",New,Birth,Matthew
Be born of the seed of Isaac,1200,Romans 9:7,New,Birth,Romans
Be born of the seed of Isaac,1200,Hebrews 11:17-19,New,Birth,Hebrews
Be of the seed of Jacob; a star out of Jacob,1200,Matthew 1:2,New,Birth,Matthew
Be of the seed of Jacob; a star out of Jacob,1200,Luke 1:33,New,Birth,Luke
Be of the seed of Jacob; a star out of Jacob,1200,Luke 3:23-38,New,Birth,Luke
"Be a firstborn son, sanctified",1200,"Luke 2:7, 23",New,Birth,Luke
Be a rod out of the stem of Jesse,500,Matthew 1:6,New,Birth,Matthew
Be a rod out of the stem of Jesse,500,Acts 13:22-23,New,Birth,Acts
Massacre of children,500,Matthew 2:16-18,New,Birth,Matthew
Have eternal existence,500,"John 1:1, 4",New,Birth,John
Have eternal existence,500,John 8:58,New,Birth,John
Have eternal existence,500,Colossians 1:15-19,New,Birth,Colossians
Be called out of Egypt,500,Matthew 2:13-15,New,Life and Ministry,Matthew
Be called out of Egypt,500,Matthew 19-21,New,Life and Ministry,Matthew
Be rejected by his brothers,800,John 7:3-5,New,Life and Ministry,John
Rulers take council against him,800,Matthew 12:14,New,Life and Ministry,Matthew
Rulers take council against him,800,Matthew 26:3-4,New,Life and Ministry,Matthew
Rulers take council against him,800,Matthew 26:47,New,Life and Ministry,Matthew
Rulers take council against him,800,Luke 23:11-12,New,Life and Ministry,Luke
Be rejected as capstone,800,Matthew 21:42,New,Life and Ministry,Matthew
Was to enter the temple,500,Matthew 21:12-16,New,Life and Ministry,Matthew
Was to enter the temple,500,Mark 11:11,New,Life and Ministry,Mark
Was to enter the temple,500,Luke 2:25-47,New,Life and Ministry,Luke
Was to enter the temple,500,Luke 19:45-47,New,Life and Ministry,Luke
Call those who were not his people,500,Romans 9:23-26,New,Life and Ministry,Romans
The King comes to Jerusalem riding on a donkey,500,Mark 11:1-10,New,Life and Ministry,Mark
The King comes to Jerusalem riding on a donkey,500,Matthew 21:1-5,New,Life and Ministry,Matthew
The King comes to Jerusalem riding on a donkey,500,Luke 19:28-38,New,Life and Ministry,Luke
The King comes to Jerusalem riding on a donkey,500,John 12:14-15,New,Life and Ministry,John
"Be a ""stone of stumbling"" to the Jews",500,Romans 9:31-33,New,Life and Ministry,Romans
"Be a ""stone of stumbling"" to the Jews",500,1 Peter 2:7-8,New,Life and Ministry,1 Peter
"Upon his coming, the deaf hear and the blind see",500,Matthew 11:5,New,Life and Ministry,Matthew
"Upon his coming, the deaf hear and the blind see",500,Mark 7:37,New,Life and Ministry,Mark
"Upon his coming, the deaf hear and the blind see",500,Luke 7:19-22,New,Life and Ministry,Luke
"Upon his coming, the deaf hear and the blind see",500,John 9:39,New,Life and Ministry,John
Fulfill promises to Jews and be a light to the Gentiles,500,Luke 2:25-32,New,Life and Ministry,Luke
Fulfill promises to Jews and be a light to the Gentiles,500,Acts 26:23,New,Life and Ministry,Acts
A new everlasting covenant,500,Luke 22:15-20,New,Life and Ministry,Luke
A new everlasting covenant,500,Hebrew 10:15-20,New,Life and Ministry,Hebrews
A new everlasting covenant,500,Matthew 26:27-29,New,Life and Ministry,Matthew
A new everlasting covenant,500,Mark 14:22-24,New,Life and Ministry,Mark
A new everlasting covenant,500,1 Corinthians 11:25,New,Life and Ministry,1 Corinthians
A new everlasting covenant,500,Hebrews 8:8-12,New,Life and Ministry,Hebrews
"Be a prophet like Moses, speaking God´s words",1200,Matthew 21:11,New,Life and Ministry,Matthew
"Be a prophet like Moses, speaking God´s words",1200,Luke 7:16,New,Life and Ministry,Luke
"Be a prophet like Moses, speaking God´s words",1200,Luke 24:19,New,Life and Ministry,Luke
"Be a prophet like Moses, speaking God´s words",1200,John 6:14,New,Life and Ministry,John
"Be a prophet like Moses, speaking God´s words",1200,John 7:40,New,Life and Ministry,John
"Be a prophet like Moses, speaking God´s words",1200,Acts 3:18-22,New,Life and Ministry,Acts
Be hated without reason,800,John 15:24-25,New,Life and Ministry,John
Come to do the will of God,800,Matthew 26:39,New,Life and Ministry,Matthew
Come to do the will of God,800,Hebrews 10:5-9,New,Life and Ministry,Hebrews
Anointed by God,800,"Hebrews 1:8, 9",New,Life and Ministry,Hebrews
Have great zeal for God's house,800,John 2:17,New,Life and Ministry,John
Care for the poor and needy,800,Luke 7:22,New,Life and Ministry,Luke
Speak in parables with hidden meaning,800,Matthew 13:10-16,New,Life and Ministry,Matthew
Speak in parables with hidden meaning,800,Matthew 34-35,New,Life and Ministry,Matthew
Speak in parables with hidden meaning,800,Luke 8:10,New,Life and Ministry,Luke
Will pray for his enemies,800,Matthew 5:44,New,Life and Ministry,Matthew
Will pray for his enemies,800,Luke 23:34,New,Life and Ministry,Luke
Be a priest after the order of Melchizedek,800,Hebrews 5:1-6,New,Life and Ministry,Hebrews
Be a priest after the order of Melchizedek,800,Hebrews 6:20,New,Life and Ministry,Hebrews
Be a priest after the order of Melchizedek,800,Hebrews 7:15-17,New,Life and Ministry,Hebrews
People's hearts are hardened,500,Matthew 13:13-15,New,Life and Ministry,Matthew
People's hearts are hardened,500,John 12:37-40,New,Life and Ministry,John
People's hearts are hardened,500,Acts 28:24-27,New,Life and Ministry,Acts
"His ministry in Zebulun, Naphtali, and Galilee",500,Matthew 4:12-16,New,Life and Ministry,Matthew
The government is on his shoulders,500,Matthew 28:18,New,Life and Ministry,Matthew
The government is on his shoulders,500,1 Corinthians 15:24-25,New,Life and Ministry,1 Corinthians
Someone will prepare for the coming of the Lord,500,Matthew 3:3,New,Life and Ministry,Matthew
Someone will prepare for the coming of the Lord,500,Mark 1:3,New,Life and Ministry,Mark
Someone will prepare for the coming of the Lord,500,Luke 3:3-5,New,Life and Ministry,Luke
Someone will prepare for the coming of the Lord,500,John 1:23,New,Life and Ministry,John
The Spirit of the Lord rests upon him,500,Matthew 3:16,New,Life and Ministry,Matthew
The Spirit of the Lord rests upon him,500,Mark 1:10,New,Life and Ministry,Mark
The Spirit of the Lord rests upon him,500,Luke 3:22,New,Life and Ministry,Luke
The Spirit of the Lord rests upon him,500,Luke 4:18,New,Life and Ministry,Luke
The Spirit of the Lord rests upon him,500,John 1:32,New,Life and Ministry,John
The Spirit of the Lord rests upon him,500,John 3:34,New,Life and Ministry,John
The Spirit of the Lord rests upon him,500,Acts 10:38,New,Life and Ministry,Acts
"Be a healer and savior, do miracles",500,Matthew 9:30,New,Life and Ministry,Matthew
"Be a healer and savior, do miracles",500,Matthew 11:4-6,New,Life and Ministry,Matthew
"Be a healer and savior, do miracles",500,Matthew 12:22,New,Life and Ministry,Matthew
"Be a healer and savior, do miracles",500,Matthew 20:34,New,Life and Ministry,Matthew
"Be a healer and savior, do miracles",500,Matthew 21:14,New,Life and Ministry,Matthew
"Be a healer and savior, do miracles",500,Mark 7:32-35,New,Life and Ministry,Mark
"Be a healer and savior, do miracles",500,John 9:1-7,New,Life and Ministry,John
"Be a healer and savior, do miracles",500,John 9:11:47,New,Life and Ministry,John
Be a shepherd who tends his sheep,500,John 10:11,New,Life and Ministry,John
Be a shepherd who tends his sheep,500,Hebrews 13:20,New,Life and Ministry,Hebrews
Be a shepherd who tends his sheep,500,1 Peter 2:25,New,Life and Ministry,1 Peter
Be a servant of God,500,Matthew 12:16-21,New,Life and Ministry,Matthew
The Redeemer to come out of Zion,500,Romans 11:26-27,New,Life and Ministry,Romans
Nations shall walk in the light of the Lord,500,Matthew 4:16,New,Life and Ministry,Matthew
Nations shall walk in the light of the Lord,500,Luke 2:32,New,Life and Ministry,Luke
Nations shall walk in the light of the Lord,500,John 12:46,New,Life and Ministry,John
Anointed to preach liberty to the captives,500,Luke 4:16-21,New,Life and Ministry,Luke
Anointed to preach liberty to the captives,500,Acts 10:38,New,Life and Ministry,Acts
His Spirit poured out upon people,500,Acts 2:16-23,New,Life and Ministry,Acts
David's house shall be restored,500,Acts 15:16-18,New,Life and Ministry,Acts
God shall dwell among his people,500,John 1:14,New,Life and Ministry,John
God shall dwell among his people,500,Revelation 21:3,New,Life and Ministry,Revelation
A new priesthood established,500,"1 Peter 2:5, 9",New,Life and Ministry,1 Peter
A new priesthood established,500,Revelation 1:6,New,Life and Ministry,Revelation
A new priesthood established,500,Revelation 5:10,New,Life and Ministry,Revelation
Messenger sent to prepare the way before him,500,Matthew 11:10,New,Life and Ministry,Matthew
Messenger sent to prepare the way before him,500,Mark 1:2-4,New,Life and Ministry,Mark
Messenger sent to prepare the way before him,500,Luke 7:27-28,New,Life and Ministry,Luke
Prophet sent before the day of the Lord,500,Matthew 11:13-14,New,Life and Ministry,Matthew
Prophet sent before the day of the Lord,500,Mark 9:11-13,New,Life and Ministry,Mark
Prophet sent before the day of the Lord,500,Luke 1:17,New,Life and Ministry,Luke
Prophet sent before the day of the Lord,500,Luke 7:27-28,New,Life and Ministry,Luke
Be Passover sacrifice with no bone broken,800,John 19:31-36,New,Death and Resurrection,John
Be hung upon a tree as a curse for us,1200,Galatians 3:13,New,Death and Resurrection,Galatians
Be thirsty during his execution,800,John 19:28,New,Death and Resurrection,John
Be accused by false witnesses,800,Matthew 26:60,New,Death and Resurrection,Matthew
Be accused by false witnesses,800,Mark 14:55-61,New,Death and Resurrection,Mark
Be struck on the head,500,Matthew 27:30,New,Death and Resurrection,Matthew
Have hands and feet pierced,800,Matthew 27:35,New,Death and Resurrection,Matthew
Have hands and feet pierced,800,John 19:18,New,Death and Resurrection,John
Have hands and feet pierced,800,John 19:34-37,New,Death and Resurrection,John
Have hands and feet pierced,500,John 20:25-29,New,Death and Resurrection,John
Have soldiers cast lots for his coat,800,John 19:23-24,New,Death and Resurrection,John
Have soldiers cast lots for his coat,800,Matthew 27:35,New,Death and Resurrection,Matthew
Have soldiers cast lots for his coat,800,Mark 15:24,New,Death and Resurrection,Mark
Have soldiers cast lots for his coat,800,Luke 23:34,New,Death and Resurrection,Luke
Be given gall and vinegar (sour wine),800,Matthew 27:34,New,Death and Resurrection,Matthew
Be given gall and vinegar (sour wine),800,Matthew 27:48,New,Death and Resurrection,Matthew
Be given gall and vinegar (sour wine),800,Mark 15:23,New,Death and Resurrection,Mark
Be given gall and vinegar (sour wine),800,Mark 15:36,New,Death and Resurrection,Mark
Be given gall and vinegar (sour wine),800,Luke 23:36,New,Death and Resurrection,Luke
Be given gall and vinegar (sour wine),800,Luke 19:29,New,Death and Resurrection,Luke
Be beaten and spat upon,500,Matthew 26:67,New,Death and Resurrection,Matthew
Be beaten and spat upon,500,Matthew 27:26-30,New,Death and Resurrection,Matthew
Be beaten and spat upon,500,Mark 14:65,New,Death and Resurrection,Mark
Be beaten and spat upon,500,Mark 15:15-19,New,Death and Resurrection,Mark
Be beaten and spat upon,500,Luke 22:63-65,New,Death and Resurrection,Luke
Be beaten and spat upon,500,John 19:1,New,Death and Resurrection,John
Be betrayed by a friend,800,Matthew 26:14-16,New,Death and Resurrection,Matthew
Be betrayed by a friend,800,Matthew 26:23,New,Death and Resurrection,Matthew
Be betrayed by a friend,800,Matthew 26:47-50,New,Death and Resurrection,Matthew
Be betrayed by a friend,800,Luke 22:19-23,New,Death and Resurrection,Luke
Be betrayed by a friend,800,Luke 22:48,New,Death and Resurrection,Luke
Be betrayed by a friend,800,John 13:18-30,New,Death and Resurrection,John
Be betrayed by a friend,800,John 18:2-5,New,Death and Resurrection,John
Be despised and rejected,500,Luke 17:25,New,Death and Resurrection,Luke
Be despised and rejected,500,Luke 23:18,New,Death and Resurrection,Luke
Be despised and rejected,500,Matthew 26:67,New,Death and Resurrection,Matthew
Be despised and rejected,500,John 1:11,New,Death and Resurrection,John
"Be accused and afflicted, but did not open his mouth",500,Matthew 27:12,New,Death and Resurrection,Matthew
"Be accused and afflicted, but did not open his mouth",500,Luke 23:9,New,Death and Resurrection,Luke
"Be accused and afflicted, but did not open his mouth",500,Matthew 26:62-63,New,Death and Resurrection,Matthew
"Be accused and afflicted, but did not open his mouth",500,Matthew 27:14,New,Death and Resurrection,Matthew
"Be accused and afflicted, but did not open his mouth",500,Mark 14:61,New,Death and Resurrection,Mark
"Be accused and afflicted, but did not open his mouth",500,Mark 15:5,New,Death and Resurrection,Mark
"Be accused and afflicted, but did not open his mouth",500,John 19:9,New,Death and Resurrection,John
